schemaValue,hexValue,access,description
%%4416,0x1,"ReadData (or ListDirectory)","ReadData - For a file object"
%%4417,0x2,"WriteData (or AddFile)","WriteData - For a file object"
%%4418,0x4,"AppendData (or AddSubdirectory or CreatePipeInstance)","AppendData - For a file object"
%%4419,0x8,"ReadEA","The right to read extended file attributes."
%%4420,0x10,"WriteEA","The right to write extended file attributes."
%%4421,0x20,"Execute/Traverse","Execute - For a native code file"
%%4422,0x40,"DeleteChild","The right to delete a child object."
%%4423,0x80,"ReadAttributes","The right to read basic attributes."
%%4424,0x100,"WriteAttributes","The right to write basic attributes."
%%1538,0x10000,"Delete","The right to delete the object."
%%1537,0x20000,"ReadControl","The right to read the information in the object's security descriptor."
%%1541,0x40000,"WriteDAC","The right to modify the DACL in the object's security descriptor."
%%1540,0x80000,"WriteOwner","The right to change the owner in the object's security descriptor."
%%1542,0x100000,"Synchronize","The right to use the object for synchronization."
%%4415,0x1000000,"AccessSysSec","Access to the SACL in the object's security descriptor."
%%1539,0xF0000,"StandardRightsRequired","STANDARD_RIGHTS_REQUIRED (DELETE, READ_CONTROL, WRITE_DAC, WRITE_OWNER)"
%%1543,0x120089,"GenericRead","GENERIC_READ (common combination for file objects)"
%%1544,0x120116,"GenericWrite","GENERIC_WRITE (common combination for file objects)"
%%1545,0x1200A0,"GenericExecute","GENERIC_EXECUTE (common combination for file objects)"
%%1546,0x1F01FF,"GenericAll","GENERIC_ALL (full control)"
